name,role
Benjamin Gilman,speaker
Francis Joseph Kuerzi,speaker
John Sepe,conductor
Isabel Daintry,actor
Reverend J.H. Gordon,speaker
Candy Argondizza,speaker
Rosa Sternov,dancer
Edward E. Klein,speaker
Stia Lynwood,actor
Robert Rene Galvan,conductor
Frederic J. de Peyster,host
Marion Cleveland,actor
Tony Randall,speaker|actor|host
Jerome Hopkins,speaker
Brad Holmes,conductor
Edgar A. Hirsch,speaker
Harry V. Spaulding,actor
Uldine Utley,speaker
Ruth Chatterton,speaker
Jean Montes,conductor
Pearl Covelle,dancer
Anton Vorisek,speaker
Tony Doganieri,conductor
Doris Finn,dancer
Reynold Levy,speaker
Edward Lebegott,conductor
John Odell Hanser,actor
Dorothy Turner,actor
Benjamin Franklin Riley,speaker
Joseph Kahn,actor
Michael A. Deaton,speaker
Egon Petri,speaker
Renata Scotto,host
Alan R. MacNair,conductor
William S. Phasey,conductor
King Britt,disc jockey
George Emmerich,actor
William Collins Pumpelly,speaker
Gail Nardin,speaker
Robert Carnochan,conductor
Irving J. Lancaster,actor
Annie Arnowitz,dancer
Matthias Kriesberg,conductor
Walter Eisenberg,conductor
David T. Clydesdale,conductor
Leon Major,director
Matthew Schick,conductor
Joseph Chaikin,actor
Nam Young Healy,conductor
Gary Walker,host
Haroutyoum Tiryakian,speaker
R.N. Coonrad,yodeler
Max Lifchitz,conductor
Terence Shook,conductor
Rebecca J. Rottsolk,conductor
Glenn Williams,conductor
Stella Adler,speaker|actor
Carl Schuricht,conductor
Scott Melvin,conductor
Vicky Greenbaum,conductor
Lillian Friedman,actor
Melvin George,comedian
Ernesta Stevens Carleton,actor
Elsie Rowe,dancer
Lalo Schifrin,conductor
Harry Coopersmith,conductor
Jeff Davidson,conductor
Wendy Marie Mock,speaker
Jeannette Mannheimer,reciter
Miss [first name unknown] Mahr,actor
Natalia Harasti,dancer
John Thompson Conover,actor
David Ellis,conductor
William Parberry,director
Virginia Myers,dancer
Scott Jackson,conductor
Ivan Zadorozny,conductor
Paula Grimm,speaker
Jennifer Laura Thompson,actor
George Dudley,actor
Neely Bruce,conductor
Alina Fahy,speaker
Jing-qiang Guo,conductor
Peter Rubinstein,speaker
Theodore Thomas,conductor
Erika Mann,speaker
John V. Irwin,speaker
Allan Drake,comedian
Matthew Hanson,conductor
Robert Kreis,conductor
Leonard L. Riccinto,conductor
Young Wha Lim,ballet dancer
Lucien Boyer,speaker
Glenn A. Block,conductor
Cornelius Garrigan,actor
Victor G. Garcia,speaker
Charles D. Osborne,speaker
Mae Harris,actor
Robert Bass,conductor
J. W. Merrill,speaker
Charles Stewart Smith,speaker
T. Simmons,actor
Mark Lawley,conductor
Daniel Perkins,conductor
W.E. Dorsa,conductor
Sir Frederick Barton Maurice,speaker
Henry Clive,magician
Kenneth G. Langone,speaker
Marcus Tsutakawa,conductor
Bernard J. Dobroski,speaker
Donald Campbell,speaker
Florence Stein,actor
Yvonne Coleman,actor
Isabelle B. Erhardt,actor
Semyon Bychkov,conductor
Dick Robinson,speaker
Reverend Washington Gladden,speaker
Yu-Chung John Ku,conductor
Theresa D'Acierno,speaker
Ted Shawn,speaker|dancer
Louis Senac,fencer
Mrs. Richard W. Meade,actor
R. S. Barbee,actor
Anna E. Marmein,narrator
Adam Glaser,conductor
James Dukas,narrator
Kyle Friesenhahn,conductor
Irene MacIntyre,dancer
Samuel E. Chelimsky,conductor
Ian Buchanan,reciter
Wana Allison,actor
Giovanni Reggioli,conductor
Juli O'Mealy,director
[first name unknown] Von Kamp,magician
Mary Laslo,actor
E. A. Hillmuth,conductor
Bernard Wagenaar,conductor
Leonty P. Krushelnytsky,conductor
Melissa Koh Krienke,dancer
Casey Goldapp,narrator
Jimmy Lenge,conductor
Aaron Copland,conductor|speaker|presenter|narrator
Charles Gallagher,actor
Charles E. Johnson,dancer
Walter Fischhoff,conductor
John Charles Thomas,reciter
Michael Hanna,band leader
Stephen Colbert,speaker
D. Onativia,dancer
A. Radclyffe Dugmore,speaker
Elvis Costello,host
Antonio Triana,dancer
Herve Moreau,dancer
Anita Gordon,dancer
Reverend William J.B. Daly,speaker
Logan Ramsey,actor
Anthony Pursell,conductor
Leo Warbington,director
John Harris Hendrick,actor
C. Victor Lonti,conductor
William Malloch,speaker
William S. Bagg,speaker
Charles Pergler,speaker
Sheila Ritter,narrator
Curtis D. Wilbur,presenter
Harry Duer Storer,actor
Emma Bown,speaker
Zdenek Macal,conductor
Bruce McInnes,director
Tilden Blodgett,speaker
Samuel Eppinger,conductor
Emily Bloecher,dancer
Edward Rosenfeld,actor
[first name unknown] Vartiter,actor
Edie Falco,speaker
[first name unknown] Ring,actor
Wolodymyr Kolesnyk,conductor
Rosa Coates Richards,dancer
Linda Powell,narrator
Stanley Dance,narrator
James M. Robinson,speaker
Frank Bernardi,host
Irene Simonsen,reciter|narrator
Joseph Straus,speaker
Bill Viola,speaker
John de Persia,actor
Moshe Paranov,conductor
Dr. Jewel T. Thompson,director
Steven Morse,conductor
Wuijin Koh,conductor
A. S. Nash,reciter
Eugene Paul McCrooken,actor
H. Martin,actor
Gaetano Conti,fencer
Michael Pierson,conductor
Amanda Levy,reciter
Misha E. Appelbaum,speaker
Louis William Dommerich,speaker
Jeanne Lamon,director
Samuel S. Sayre,speaker
Adam Fischer,conductor
Alexander Rodriguez Feliciano,conductor
Thomas J. Stewart,speaker
Robert Cooper,conductor
Kevin M. Ford,conductor
B. Frank Heintzleman,speaker
Sh. Epstein,speaker
Joseph Lacalle,conductor
Louise Coleman,actor
Charles J. Miville,speaker
Peter J. Wilhousky,conductor
Marina Rozenberg,conductor
Elizabeth Taylor,actor
Sir Arthur Conan Doyle,speaker
Jeff Tolman,conductor
Hershey Felder,actor
John E. Milholland,host
Bruce Adolphe,host|narrator
Mo Rocca,comedian|panelist
Robyn Nevin,narrator
Blanche Alexander,actor
Marcus M. Marks,speaker
John Rees,actor
Zachary Gates,conductor
Hamilton Fish,speaker
Llew Matthews,conductor
Reverend D. Parker Morgan,speaker
Herman S. Young,speaker
Sir Ernest Henry Shackleton,speaker
Arthur M. King,speaker
Joseph Ettor,speaker
Russell Wagoner,conductor
Robyn Cambra,conductor
Anne Rupert,conductor
Ian Mikardo,speaker
Steven Adler,speaker
Tullio Serafin,conductor
Kathleen Elwood,conductor
Edmond Bruwaert,speaker
Mark Popovsky,speaker
James Buckner,conductor
Eiko Hori,hula dancer
Joanne Woodward,reader
Barbara Marble Tagg,conductor
Reverend Arthur Taylor,speaker
Kokuei Toyota,puppeteer
Alfred Brendel,speaker|reader
Joyce DeWitt,reader
Harold Zabrack,speaker
James Price,conductor
Laurie J. Friedman,conductor
Robert Stanton,actor
Liana Isakadze,conductor
Leopold Stokowski,conductor|speaker|director|narrator
Steven Edwards,conductor
Donald Bryant,conductor
Kevin Davis,actor
Kathy Kinney,comedian
Henry Alexander,speaker
Algeron I. Nova,speaker
Joseph Kiernan,speaker
Marcus Samuelsson,speaker
Jon Hurty,conductor
Estelle Siker,dancer
Helen Bush Wyatt,actor
Walter Hendl,conductor
Michael Cumpsty,actor
Louise Batue,dancer
Claude Frank,speaker
Stanley Calvin Van Note,actor
Mary McLeod Bethune,speaker
Olive Temple,actor
John Steele,actor
Karrie Brown,conductor
Ida R. Silverman,actor
Todd Peterson,conductor
Benjamin Horning,actor
Kimberly Walton,conductor
James F.X. O'Rourke,speaker
Mark Esposito,dancer
Douglas Kennedy,dancer
Eva McAdoo,actor
Willard S. Townsend,speaker
Geoffrey Pomeroy,reciter
William Armand Hannig,speaker
Eric Alberti Moederle,host
Pauline Paulette Patterson,speaker
Alison Steele,host
James Baker,conductor|conductor
Samuel B. Pettengill,speaker
Ariel Rudiakov,conductor
James P. Holland,speaker|host
Nahum Melnick,actor
John Thomas Delaney,actor
Tamara Sevunts,actor
Nicholas Karousatos,narrator
Jason Howland,conductor
Linda H. Aiken,speaker
M. M. Mangasarian,speaker
Simon Federman,speaker
Gordon J. Tedeschi,conductor
David Wright,host
Avery Sommers,narrator
Helen Talbot Olyphant,actor
Charles Laskey,dancer
Larry Larson,conductor
James Billington,speaker
Peter B. Olney,speaker
Barbara DiFranco,conductor
Paul Boepple,conductor
Dr. Alfred Williams Anthony,speaker
Miriam Brickman,reciter|narrator
Reverend Nathan A. Seagle,speaker
Dr. Lenore Pogonowski,speaker
Maida Peirce,actor
Max Bendix,conductor
Lauren Staniszewski,conductor
[first name unknown] Fatiga,actor
Pavel Vetrovec,conductor
Junius Simmons,actor
Charles Repole,director
Liana Issakadze,conductor
Antonia Levey,reciter
Joseph P. Donnelly,conductor|host
Will Kesling,conductor
Renee Wilde,dancer
Jiangbin Liu,conductor
Henry Bruere,speaker
Timothy Decker,conductor
Alan Hovhaness,conductor
Samantha Quan,actor
Horace Beaver,speaker
Henry Steigner,reciter
Alfred J. McCosker,speaker
Nell Morton Mimne,actor
William Howell,dancer
John Bianchi,narrator
Mert Erogul,speaker
Frank P. Walsh,speaker
Christopher C. Chapman,conductor
Spencer Nesvick,conductor
James G. Blaine,speaker
Jong-hun Bae,conductor
Howard Dodson,speaker
Katerina Clark,speaker
David Smith,conductor|speaker
Sarah Bouska,conductor
Liz Torres,comedian
Arturo Toscanini,conductor
Malathi Ramji,dancer
Prince Hara,magician
Laderel Harrelson,conductor
William R. Shoppell Jr.,conductor
Chloe Webb,actor
Elizabeth Nunez,conductor
Ki Hong Jang,conductor
Michael L. Hining,conductor
Andrew Barclay,conductor
Felix von Luckner,speaker
[first name unknown] Marin,actor
Amir Kats,conductor
Boris Morgunov,narrator
Major Edward Bowes,speaker
Vera King,actor|dancer
Cornelia Niles,dancer
Edith M. Norton,reciter
Timur Kocak,actor
A. Jacobi,speaker
Ethelle Earle,actor
Eva Marie Saint,actor
Yvonne Rainer,dancer
Warren G. Harding,speaker
Lottie Elwen,actor
JoAnn Falletta,conductor
Ernest Jennings,conductor
Maurice Bellew,speaker
[first name unknown] Marconi,actor
Donna Karan,speaker
Henry E. Duncan,conductor
Clair Omar Musser,conductor
Victor Morawetz,speaker
Reverend Sheldon Jackson,speaker
Diane Schutz,conductor
Steve LaRocca,conductor
Harry Browne,speaker
Arthur Rudd,speaker
Lionel Beckles,dancer
Adam Gohr,conductor
Robert Caldwell,actor
Marjorie Schweinert,dancer
David B. Gally,actor
Huntington Clarke Atwater,actor
Adelaida Baralt,actor
Elizabeth Cangelosi,actor
Ada Zanetti,dancer
Charles Gabriele,director
Diederich Neuman,mind reader
Mrs. J. Sergeant Cram,speaker
Joseph Dangerfield,conductor
Bernhard Schir,speaker
Samuel Ruck,actor
Donald Pippin,conductor
Jimmie Lunceford,conductor
John M. Rosborough,conductor
Angelo Di Pippo,conductor
Willis Fletcher Johnson,presenter
Manfred Honeck,conductor
Chad Harper,host
Gilman T. Figaro,host
Cindi Leive,speaker
JoAnn Rice,director
Marta Bedkowska,conductor
Lorraine Bracco,presenter
Susan Elliott,speaker
Virginia Madden,dancer
Charles H. Chave,conductor
Dora Cole,reciter
Samuel Belkin,speaker
Dimitri Hadjipetkov,conductor|director
Paavo Berglund,conductor
Dr. Chaim Zhitlowsky,speaker
Ottorino Respighi,conductor
Vladimir Heifetz,conductor|speaker
David J. Skorton,speaker
Mary H. Ewer,actor
John Stellar,dancer
Eloisa Skarbrevik,ballet dancer
Sharon Anderson,conductor
Hans Gansert,dancer
James Avery,reader
Wells E. Knibloe,actor
Pauline Fiske,actor
Nancy Bennett,conductor
Reverend William J. Seabury,speaker
Polly Seagal,actor
Charles Suling,conductor
Helene Fortescue,actor
Joseph Winik,speaker
Vladimir Bakaleinikoff,conductor
Irakli Shengelia,dancer
Victor Alvarez,dancer
Reverend Adolph F. Schauffler,speaker
Bogdan Petrenko,conductor
Louis C.K.,comedian
Fliezer Schechter,speaker
Susumu Noborisato,puppeteer
Lowell Thomas Jr.,speaker|narrator
Alex Yakovleff,dancer
Dave Gross,conductor
Jasper Vogt,actor
John Doane,conductor
Susan Shumway,director
Dr. David S. Muzzey,speaker
Haradi Sanjiva Ganiga,dancer
Darla Turner,conductor
Barry Tuckwell,conductor
Conner Gray Covington,conductor
Malcolm Sidney Huey,actor
Pete Fornatale,speaker|host
Vasilis Logothetidis,actor
Kathi Huggins Howell,conductor
George Bockman,dancer
Ralph Ewell,conductor
Harriet Burton Laidlaw,speaker
Jaime Laredo,conductor
Augustus P. Gardner,speaker
Florence Irene Jones,conductor
Yuri Temirkanov,conductor
Debbie Gravitte,actor
Steve Muntyanu,director
E. N. Dollin,actor
Peter Sparling,dancer
Edward W. Harris,speaker
Ken Dashow,speaker
William Francis Dominick,actor
Terry Allan Burstein,speaker
Lida Alma,dancer
Constantino Turcano,conductor
Roger Minami,dancer
A. Zimmerman,actor
Anne Moore,speaker
Harold R. Peat,speaker
Joanne Katz,speaker|presenter
Henry F. Ashurst,speaker
Brett Johnson,conductor
Janet Reed,dancer
Jack London,speaker
Paul Boyer,moderator
Berta Markman,ballet dancer
Hamilton Holt,speaker
Rose Pastor Stokes,speaker|reciter
Ernest Bloch,conductor
Dorothy Manson,actor
Alice Anderton,actor
Alfred Drake,actor
Darlene Rogers,director
John Foord,speaker
Frances Thornton,actor
Christopher Erk,dancer
Forrest MacComber,actor
Bernadine Mitchell,actor
James Bingham,conductor
Sean Michael Harris,conductor
William Fredrick Jockel,actor
Lynn Willis,actor
Shawn Taylor,conductor
George L. Humphrey,conductor
Jerald P. Nye,speaker
George Steinbrenner,conductor
Rachel Stoddard,conductor
Marie Dressler,actor
William Lyon Phelps,speaker
Amy Meckler,sign language interpreter
Walter S. Case,actor
Michelle Caruso,conductor
Vladimir Jabotinsky,speaker
Sana Ahmed,speaker
Bill Moriarty,speaker
Edward Shippen,actor
Elma Smith,actor
Larry Blank,conductor
Thomas Yayi Boni,speaker
Ann Sheridan,actor
Richard E. Wyman,conductor
John Clark,actor
Samuel Levysohn,conductor
William Strickland,conductor
Kasumi,video artist
Yvonne O'Dea,conductor
Randy Kagen,comedian
David V. Bush,speaker
Jean Carroll,comedian
Keith Moon,host
Mark Blair,conductor
Theodora Sotiropoulos,conductor
Michael Mellia,conductor
Reverend A.H. Bradford,speaker
William A. Olmstead,speaker
Jack O. Haller,speaker
A. Zatulov,dancer
Thomas P. Peters,speaker
Theodore A. Renkel,actor
Clayton R. Lusk,speaker
Elbert D. Thomas,speaker
Liliya Shamazov,conductor
Netta Lucille Nixon,actor
Reverend Henry Van Rensselaer,speaker
Samuel W. Fairchild,speaker|presenter
Henry C. Smith,actor|conductor|director
Julius Smith,speaker
Joseph Celli,conductor
Hamlin Garland,host
William King,speaker|actor
Darrah Carr Byrne,dancer
Reverend John Roach Straton,speaker
Edwin TenEyck Reynolds,actor
Mitch Herbert,conductor
Frank Mankiewicz,speaker
Linus Pauling,speaker
John R. Pastin,conductor
Edmond W. Booth,speaker
O.O. Howard,host
Faye Dunaway,actor
Garrett P. Serviss,speaker
Leopold Sipe,conductor
Grover J. Oberle,conductor
Maria Teresa Acuna,dancer
Bernard Klinger,conductor
Helen Althea Messenger,speaker
John Giordano,conductor
Steve Cropper,speaker
Millie Weiss,dancer
Robert Istad,conductor
Alun Hodges,conductor
Roger Ingham,actor
Manon Reddy,conductor
Irene Roberts,dancer
Jessie Crommette,actor
Peggy Dettwiler,conductor
Tony Kushner,speaker
Ettie Winningham,actor
Teresa Cheung,conductor
Harl McDonald,conductor|speaker|director
Dorothey Peteferd,reader
John Dee Holeman,dancer
Veronica M. Catanese,presenter
William Bratten,conductor
Robert Gottschalk,actor
Hyo Kang,presenter
Isabel Wright,actor
Anthony Lanzino,conductor
Maiko Yasuda,conductor
Sidney B. Dudley,dancer
Douglas Watt,presenter
Minnie Pearl,comedian
Lydia Latham,actor
"Harry ""Rouclere"" Terhune",magician
Gilda Miros,host
Patrick M. Liebergen,conductor
Dr. Israel Goldstein,speaker
Robert F. Furchgott,speaker
James F. Palmer,conductor
Arthur T. Brewer,speaker
John Sekora,speaker|presenter
Dawn Smith-Theodore,dancer
Margaret Severn,dancer
Leslie A. Winship,actor
Stan Schnoonover,conductor
Rob Lubbers,conductor
Julian Greer,actor
Harry Stone,actor
Reverend Lars P. Qualben,speaker
Oscar Ravinia,conductor
Robin C. Planer,conductor
Van A. Bittner,speaker
David Fletcher,conductor
Kevin Laird,director
Dr. Barry Cooper,speaker
John Bernd,dancer
Harry J. Bick,actor
Danny Daniels,tap dancer
Bess Warren Mott,actor
Carol Landolfi,director
Wheeler Beckett,conductor|speaker
Stephen Petrunak,conductor
Patricia M. Carey,speaker|host
Yong Ku Ahn,conductor
Reverend George Washington Grannis,speaker
Michel Legrand,conductor
Mrs. Charles Augustine Robinson,speaker
Arni Egilsson,speaker
Paul Hoerbiger,actor
Donald Feldman,conductor
Martin Caro,dancer
Ulli Buesel,conductor
La Argentina,dancer
Adolph Germer,speaker
Robert Capanna,conductor
Maureen Holm,reader
R. H. Moore,ventriloquist
Michael Jackson,host
Gitta Wallerstein,dancer
Shirley Booth,actor
Richard Woitach,conductor
Mrs. F. Meredith Blagden,speaker
Mitsuru Tsuchida,band leader
Eddie Jackson,comedian
George Cromwell,speaker
Bernardino Molinari,conductor
Ward Gibson,speaker
Mishel Piastro,conductor
Edward S. Curtis,speaker
L. F. Whitbeck,speaker
John Purroy Mitchel,speaker|host
Hans Wengraf,actor
Ed East,comedian
Paul W. Pierce,conductor
J. Wallace Crawford,actor
Meyer Berlin,speaker
Barbara Flooding,conductor
Rick Rubin,sign language interpreter
Priyagopal,dancer
Matt Glaser,conductor
Sergio Rodriguez,conductor
Laura S. Bell,actor
Charles Tyner,actor
Hannah Bunya,conductor
Robert Minford,actor
Carol McGonnell,speaker
Martha Hicks Dye,speaker
David J. Brewer,speaker
Julia Bastuscheck,conductor
David A. Munro,speaker
Emma Moss Booth-Tucker,speaker
[first name unknown] Huidobro,speaker
Larry Storch,impressionist
Archibald T. Davison,conductor
Rex Stout,speaker
Bill Nolte,actor
Charles R. Shermer,speaker
Dr. J. Halperin,speaker
Frank A. Bennack Jr.,speaker
Reverend Edwin Forrest Hallenbeck,speaker
Jane A. Delano,speaker
Yuri Ahronovitch,conductor
Colin R. Clarke,conductor
Samuel Firstman,conductor
Erwin Frisch,actor
Emanuel Balaban,conductor
Barry Solowey,conductor
Alexander Saslavsky,conductor
Alice Aycock,dancer
Laurence Hugo,actor
Frank Strong,speaker
George Ford Sterling,actor
Mary Hinkson,dancer
Charles Wuorinen,conductor
Bob Newhart,comedian
Gino Francesconi,speaker
Julia Arthur,reader
Dmitry Kabalevsky,conductor
Elsa Maxwell,speaker|actor
Hiroyuki Iwaki,conductor
Reverend Arthur J. Smith,speaker
Nicholas Hart,conductor
Kelli O'Hara,speaker
John J. Costello,speaker
Michael Parloff,panelist
Jack F. Hanus,narrator
Les Davis,host
Stephen Town,conductor
Edward W. Hatch,speaker
Valery Platonov,conductor
Mary F. Blount,actor
Stanley Tommasello,fencer
Mrs. William Garvin,speaker
Karl Richter,conductor
Maya Kuebler,dancer
Queen Noor of Jordan,speaker
Maud McNamara,actor
Tito Puente,conductor
Maria Papanikolaou,dancer
Annie W. Goodrich,speaker
Tao Howard,dancer
Robert Sadin,conductor
Susan M. Love,speaker
Leonard Liebling,speaker
Douglas W. Johnson,speaker
Nello Santi,conductor
Kenney Potter,conductor
Xavier Cugat,band leader
Ruth Vallance,dancer
Eiichi Toyama,conductor
Don Sickler,conductor
Don McHenry,actor
Charles Thomas,actor
Walter Newman,actor
Wendy Rich Stetson,actor
Kapen Henry,dancer
Arlene Davila,speaker
Robert Elmore,conductor|director
Gianfranco Rivoli,conductor
Otis Wallace,actor
Philip Bingham,conductor
Mignon Garland,dancer
Robert J. Powell,reciter
Magnus Martensson,conductor
F. W. Gunsaulus,speaker
Augustus S. Whetton,actor
Elie Wiesel,conductor|speaker|narrator
Anne Downer,dancer
The McNamara Dancers,folk dancer
Emily Augusta Hill,narrator
Louise Ray Allen,dancer
Nicholas Afonsky,conductor
S. Bonchek,speaker
Christ Vassilakakis,speaker
Chalmers Wood,actor
Patrice O'Neal,comedian
Tim Reid,host
Reverend Henry Evertson Cobb,speaker
Walter Thomas Murphy,speaker
Howard Clarke,speaker
May Sterling,dancer
Robert Thornell,conductor
George W. Cable,speaker
Linda Lavin,speaker|actor
[first name unknown] Ortega,dancer
Marie Mischler,actor
V.M. Zenzinoff,speaker
Sophia Angelina McIntosh,speaker
Rhonda Fleming,conductor|director
Thomas F. Fallon Jr.,actor
Reverend E.S. Roberts,speaker
Michael Albertson,conductor
Sanford Lawrence,actor
Irene Leahey,dancer
Anne Simpson,dancer
Andre Beltran,conductor
Michael Alexander,conductor
Will Durant,speaker
Dana McDonnell,conductor
Kenneth Bostok,dancer
Katharine Dexter McCormick,speaker
